location_name,GDP,Prevalence
Saudi Arabia,29566.79338,764.95785315018
Saudi Arabia,29566.79338,1911.9575452312704
Cyprus,29227.17383,774.8860175117101
Cyprus,29227.17383,903.93934383859
Bahrain,27259.74386,737.7956811555499
Bahrain,27259.74386,1221.07165633723
Slovenia,25814.16872,601.94277367661
Slovenia,25814.16872,402.89414049165
Northern Mariana Islands,24496.66521,616.00824216569
Northern Mariana Islands,24496.66521,843.57370967983
Czechia,24062.719,582.11382393803
Czechia,24062.719,410.72017523125
Estonia,24021.25014,672.17283437093
Estonia,24021.25014,418.22697986621
Saint Kitts and Nevis,23595.49232,526.84127377543
Saint Kitts and Nevis,23595.49232,2207.51600818629
Portugal,23343.3629,742.47103820967
Portugal,23343.3629,775.3438903707299
Barbados,21912.15012,539.42219341467
Barbados,21912.15012,1991.37900698513
Lithuania,19608.79439,771.79293350004
Lithuania,19608.79439,401.15997554766994
Slovakia,19406.05897,571.12640759926
Slovakia,19406.05897,428.53675276801
Greece,19335.3602,763.97267444793
Greece,19335.3602,778.4000513004299
Oman,19180.186420000002,772.02496002334
Oman,19180.186420000002,1233.77590441117
Seychelles,19141.51187,576.2093977173399
Seychelles,19141.51187,543.13557542847
Antigua and Barbuda,18896.37218,557.01963524982
Antigua and Barbuda,18896.37218,2248.25085570038
Uruguay,18315.7317,892.66829682101
Uruguay,18315.7317,845.9464632975901
Latvia,17294.97516,654.58358944242
Latvia,17294.97516,405.73393653515
Trinidad and Tobago,17212.61289,546.8267079047299
Trinidad and Tobago,17212.61289,2166.28918314757
Hungary,17012.85986,569.21563428128
Hungary,17012.85986,412.35418234399
Panama,16477.90663,695.84692275964
Panama,16477.90663,1085.4093978152
Poland,15874.52205,586.10608517829
Poland,15874.52205,422.9242958190299
Palau,15846.79685,600.60414128445
Palau,15846.79685,772.8681042875801
Croatia,15563.59873,582.37992922429
Croatia,15563.59873,402.38318724091
Chile,14495.71672,907.83752342592
Chile,14495.71672,865.46729856359
Romania,12909.6104,553.31452053612
Romania,12909.6104,424.3174264134
American Samoa,12886.13595,607.81074037631
American Samoa,12886.13595,935.871569981
Costa Rica,12884.686,699.60317542651
Costa Rica,12884.686,1058.80732690266
Saint Lucia,11794.05972,552.99180979792
Saint Lucia,11794.05972,2218.5781275342797
Maldives,11740.2724,642.22460353473
Maldives,11740.2724,644.07102612393
Mauritius,11568.25334,525.75451140849
Mauritius,11568.25334,494.18998509811
Russian Federation,11447.70117,645.37531027981
Russian Federation,11447.70117,434.53589327375
Malaysia,10920.19176,629.29529314305
Malaysia,10920.19176,407.93998376034995
Nauru,10801.77057,619.6536454742201
Nauru,10801.77057,1018.6770010964
Grenada,10462.79292,543.0818859968
Grenada,10462.79292,2305.64404319583
New Mexico,10369.55536,900.05313832473
Mexico,10369.55536,740.6829848719101
Mexico,10369.55536,702.30579736117
Mexico City,10369.55536,703.36478680074
Mexico City,10369.55536,540.44290762484
New Mexico,10369.55536,1421.9542965870698
Bulgaria,10353.72046,526.70093316333
Bulgaria,10353.72046,386.65155758889
China,10342.90095,469.43416686795
China,10342.90095,1506.89209102156
Libya,9963.194891,701.82997082309
Libya,9963.194891,1133.82474595142
Argentina,9955.974787,913.73268683752
Argentina,9955.974787,891.1096715560301
Dominica,9491.14996,564.77994679968
Dominica,9491.14996,2348.75345677938
Kazakhstan,9457.126147,620.13835405349
Kazakhstan,9457.126147,543.33644688917
Türkiye,9395.23378,598.96899988978
Türkiye,9395.23378,1711.9706722524602
Cuba,9232.261159,528.63602372578
Cuba,9232.261159,1967.12030848218
Brazil,9029.833044,520.1221554046
Brazil,9029.833044,1619.41331624237
Brazil Northeast,9029.833044,533.00519655549
Brazil Northeast,9029.833044,1733.95155212269
Brazil South,9029.833044,520.98179294485
Brazil South,9029.833044,1596.52257385001
Brazil North,9029.833044,522.74458869521
Brazil North,9029.833044,1924.61731824498
Brazil Central-West,9029.833044,502.27303927602
Brazil Central-West,9029.833044,1733.22176899698
Brazil Southeast,9029.833044,514.11681758767
Brazil Southeast,9029.833044,1468.06967825412
Lebanon,8905.880055,676.29442020202
Lebanon,8905.880055,1089.4361432962
Montenegro,8749.023752,639.90621267343
Montenegro,8749.023752,475.9589228127901
